sequence;type;annee;tour;departement;commune;numero_du_bureau;code_canton;code_circonscription;indicatif;nombre_dinscrits;nombre_dabstentions;nombre_de_votants;nombre_de_votants_dapres_les_feuilles_demargement;nombre_de_bulletins_blancs;nombre_de_bulletins_nuls;nombre_dexprimes;nombre_de_candidats;sigle_du_candidat1;nombre_de_voix_du_candidat1;sigle_du_candidat2;nombre_de_voix_du_candidat2;sigle_du_candidat3;nombre_de_voix_du_candidat3;sigle_du_candidat4;nombre_de_voix_du_candidat4;sigle_du_candidat5;nombre_de_voix_du_candidat5;sigle_du_candidat6;nombre_de_voix_du_candidat6;sigle_du_candidat7;nombre_de_voix_du_candidat7;sigle_du_candidat8;nombre_de_voix_du_candidat8;sigle_du_candidat9;nombre_de_voix_du_candidat9;sigle_du_candidat10;nombre_de_voix_du_candidat10;sigle_du_candidat11;nombre_de_voix_du_candidat11;sigle_du_candidat12;nombre_de_voix_du_candidat12
72;PR;2022;1;31;555;0070;19;09;I;784;295;489;488;5;7;477;12;ARTH;3;ROUS;5;MACR;67;LASS;7;LEPE;63;ZEMM;18;MELE;278;HIDA;5;JADO;5;PECR;11;POUT;5;DUPO;10
73;PR;2022;1;31;555;0071;19;03;I;77;43;34;34;0;0;34;12;ARTH;0;ROUS;2;MACR;3;LASS;1;LEPE;2;ZEMM;0;MELE;20;HIDA;2;JADO;4;PECR;0;POUT;0;DUPO;0
80;PR;2022;1;31;555;0078;19;09;I;1080;212;868;868;18;10;840;12;ARTH;3;ROUS;17;MACR;196;LASS;18;LEPE;67;ZEMM;51;MELE;352;HIDA;29;JADO;63;PECR;34;POUT;2;DUPO;8
82;PR;2022;1;31;555;0080;19;09;I;1107;283;824;824;10;1;813;12;ARTH;1;ROUS;15;MACR;179;LASS;25;LEPE;66;ZEMM;47;MELE;342;HIDA;24;JADO;68;PECR;31;POUT;4;DUPO;11
84;PR;2022;1;31;555;081A;19;09;I;1070;253;817;817;6;2;809;12;ARTH;3;ROUS;17;MACR;192;LASS;15;LEPE;75;ZEMM;51;MELE;281;HIDA;32;JADO;97;PECR;26;POUT;8;DUPO;12
87;PR;2022;1;31;555;083A;19;09;I;972;218;754;752;6;1;747;12;ARTH;2;ROUS;14;MACR;213;LASS;21;LEPE;71;ZEMM;60;MELE;229;HIDA;24;JADO;63;PECR;35;POUT;5;DUPO;10
112;PR;2022;1;31;555;0108;20;04;I;1240;213;1027;1027;16;10;1001;12;ARTH;2;ROUS;19;MACR;276;LASS;31;LEPE;135;ZEMM;68;MELE;322;HIDA;29;JADO;66;PECR;28;POUT;7;DUPO;18
114;PR;2022;1;31;555;0110;20;04;I;1258;271;987;987;15;4;968;12;ARTH;3;ROUS;13;MACR;217;LASS;36;LEPE;140;ZEMM;60;MELE;387;HIDA;21;JADO;48;PECR;20;POUT;5;DUPO;18
117;PR;2022;1;31;555;112A;20;04;I;1027;231;796;796;11;5;780;12;ARTH;2;ROUS;15;MACR;231;LASS;33;LEPE;105;ZEMM;54;MELE;208;HIDA;21;JADO;62;PECR;23;POUT;11;DUPO;15
119;PR;2022;1;31;555;0114;15;04;I;903;165;738;738;6;1;731;12;ARTH;1;ROUS;16;MACR;165;LASS;21;LEPE;65;ZEMM;35;MELE;302;HIDA;18;JADO;65;PECR;21;POUT;9;DUPO;13
136;PR;2022;1;31;555;0131;15;09;I;808;286;522;522;5;2;515;12;ARTH;2;ROUS;1;MACR;57;LASS;11;LEPE;32;ZEMM;8;MELE;384;HIDA;2;JADO;6;PECR;3;POUT;8;DUPO;1
145;PR;2022;1;31;555;0140;15;04;I;1045;197;848;848;12;8;828;12;ARTH;2;ROUS;12;MACR;261;LASS;19;LEPE;116;ZEMM;59;MELE;234;HIDA;15;JADO;60;PECR;29;POUT;2;DUPO;19
